Property Address,Property Name,Property Type,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Days On Market,Land Area (AC),Land Area (SF),LEED Certified,Latitude,Longitude,Operational Status,Rent/SF/Yr,Rent Type,Star Rating,Typical Floor Size,Zoning,Building Class,Energy Star,Property Location,Proposed Land Use,Rent
12551 Telegraph Rd,Building 2,Industrial,Under Construction,Mid-Cities,Santa Fe Springs/La Mirada,Santa Fe Springs,CA,90670,Los Angeles,2025,2,,91.0,1.56,58463,58463,58463,58463,58463,0,0,-,0.0,7000.0,2024 Tax @ $3.7630/sf,2024 Tax @ $3.7630/sf,,,Newmark,,3104912088.0,,Connor Reeves,,Outrigger Industrial,Centris Industrial,"Mezzanine, Skylights",1200-2000a/277-480v 3p 4w,"30'0""",9.0,1,,ESFR,,,,,,,,13345440,,,Telegraph Pointe,0,3.399999,148104.0,,33.9424156,-118.0647377,,$9.83 - 12.02 (Est.),,4,54463,VEM,A,,,,12.02
18582 Teller Ave,,Industrial,Existing,Airport Area,Irvine,Irvine,CA,92612,Orange,2024,1,,133.0,0.97,136612,136612,136612,136612,136612,136612,0,-,0.0,13275.0,2024 Tax @ $3.6346/sf,2024 Tax @ $3.6346/sf,,,,,,,,,,,"Fenced Lot, LEED Certified - Gold, Yard",4000a,"36'0""",20.0,"2/12'0""w x 16'0""h",,ESFR,,Reinforced Concrete,,,,,,12508623,,,,0,6.25,272250.0,LEED Certified - Gold,33.6709057,-117.850284,,$10.74 - 13.12 (Est.),,4,136612,5.1 IBC Multi-Use,A,,,,13.12
15881 Terminal Ct,Building 2,Industrial,Existing,Inland Empire West,Chino/Chino Hills,Chino,CA,91708,San Bernardino,2024,1,,114.0,1.16,98568,98568,98568,98568,98568,98568,0,-,0.0,3681.0,2024 Tax @ $2.2518/sf,2024 Tax @ $2.2518/sf,,,,,,,,,,Link Logistics,Storage Space,2000a,"32'0""",20.0,2,52'w,ESFR,,Reinforced Concrete,,,City,City,,15135417,,,Altitude Business Center,0,5.101935,222240.0,,33.9654773,-117.6397326,,$8.96 - 10.96 (Est.),,4,98568,M2,A,,,,10.96
752 N Tippecanoe Ave,Oakmont Tippecanoe,Industrial,Existing,Inland Empire East,San Bernardino,San Bernardino,CA,92410,San Bernardino,2024,1,,321.0,0.87,337385,337385,337385,337385,337385,0,0,-,100.0,,,,,,,,,,,,,Pme Oakmont Tippecanoe Lp,Skylights,4000a,"36'0""",29.0,"2/12'0""w x 14'0""h",,ESFR,,,,,,,,13969764,,,,185,8.5,370260.0,,34.114144,-117.2620544,,$7.15 - 8.74 (Est.),,4,337385,IC,A,,,,8.74
17411 Valley Blvd,,Industrial,Existing,San Gabriel Valley,City of Industry,City of Industry,CA,91744,Los Angeles,1992,1,,357.0,0.98,350256,258256,258256,258256,258256,258256,0,-,26.27,42031.0,2024 Tax @ $4.2436/sf,2024 Tax @ $4.2436/sf,,,Colliers,,6262834560.0,,Tony Phu,,,Scout Cold Logistics,"24 Hour Access, Cooler, Fenced Lot, Mezzanine, Signage, Skylights, Yard, Reception, Storage Space, Air Conditioning",1000-3000a/277-480v,"37'0""",64.0,"2/12'0""w x 18'0""h",66'w,Yes,,Reinforced Concrete,,,Yes,Yes,,262517,,,,0,13.31,579784.0,,34.0098651,-117.9231994,,$9.24 - 11.29 (Est.),,4,350256,"MA, City of Industry",A,,,,11.29
6800 Valley View St,CenterPoint SoCal Logistics Center,Industrial,Existing,North County,Buena Park,Buena Park,CA,90620,Orange,1967,1,1969.0,722.0,0.7,1034026,300000,50,320000,0,0,320000,-,100.0,104000.0,2024 Tax @ $1.5439/sf,2024 Tax @ $1.5439/sf,,,,,,,,,,CenterPoint Properties,"24 Hour Access, Atrium, Conferencing Facility, Fenced Lot, Yard, Storage Space",6900a/277-480v 3p 4w,"29'0""",180.0,"2/20'0""w x 10'0""h",40'w x 66'd,ESFR,,Masonry,,,,,,706270,,,CenterPoint SoCal Logistics Center,0,44.5,1938420.0,,33.861961,-118.026039,,$10.28 - 12.57 (Est.),,4,1034026,MH,A,,,,12.57
5791 Van Allen Way,,Flex,Existing,I-5 Corridor,Carlsbad,Carlsbad,CA,92008,San Diego,1998,1,,241.0,2.87,83984,83984,83984,83984,83984,83984,0,-,0.0,,2024 Tax @ $3.5632/sf,2024 Tax @ $3.5632/sf,,,JLL,,8584101253.0,,Tim Olson,Colliers,KBS,Thermo Fisher Scientific,"Bio-Tech/ Lab Space, Wet Lab",277-480v 3p 4w,"30'0""",,"2/8'0""w x 12'0""h",56'w x 52'd,Wet,,Reinforced Concrete,,Electric,City,City,,36055,,,Carlsbad Research Center,0,5.51,240016.0,,33.1373964,-117.2880026,,$15.78 - 19.29 (Est.),,4,83984,PM,A,,,,19.29
1367 S Van Buren Way,Bldg 3,Industrial,Existing,North County,Anaheim,Anaheim,CA,92806,Orange,2019,1,,87.0,1.61,53850,53850,53850,53850,53850,0,0,-,100.0,8156.0,2024 Tax @ $4.3475/sf,2024 Tax @ $4.3475/sf,,,DAUM Commercial Real Estate Services,,7149415320.0,,Chris Migliori,,"Panattoni Development Company, Inc.",Panattoni,"Courtyard, Fenced Lot, Skylights, Energy Star Labeled, Yard",800-2000a,"30'0""",6.0,1,,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,,10713129,,,Orange County Commerce Center,0,2.3606,102828.0,,33.8637893,-117.8334892,,$10.37 - 12.68 (Est.),,4,53850,SP015-1,A,Energy Star,,,12.68
2975-3071 Venture Dr,Lincoln Air Center,Industrial,Existing,Placer County,Roseville/Rocklin,Lincoln,CA,95648,Placer,1995,1,,200.0,5.0,515637,81600,57551,139151,139151,139151,0,-,73.01,8120.0,2024 Tax @ $0.6598/sf,2024 Tax @ $0.6598/sf,,,CBRE,,9167814859.0,,"Todd Sanfilippo, SIOR",Buzz Oates,,Buzz Oates,Air Conditioning,480v,"32'0""",21.0,"4/12'0""w x 14'0""h",57'w x 57'd,ESFR,,Reinforced Concrete,,,City,City,Natural,337437,,,Lincoln Air Center,0,28.0,1219680.0,,38.904559,-121.331732,,$5.31 - 6.50 (Est.),,4,515637,LLI,A,,,,6.5
11650 Venture Dr,Home Depot Distribution Center,Industrial,Existing,Inland Empire East,Riverside,Jurupa Valley,CA,91752,Riverside,2000,1,,461.0,0.41,1126530,1126530,1126530,1126530,1126530,0,0,-,0.0,13217.0,2023 Tax @ $0.6351/sf,2023 Tax @ $0.6351/sf,,,,,,,,"Space Center, Inc","Space Center, Inc",Link Logistics Real Estate,"Fenced Lot, Signage, Skylights, Energy Star Labeled, Air Conditioning",4000a/480v 3p,"30'0""",189.0,"4/14'0""w x 12'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,,,City,City,,48725,,,West Coast Import Distribution Ctr,0,62.81,2736004.0,,34.0282625,-117.5351811,,$7.91 - 9.66 (Est.),,4,1126530,M-M,A,,SEC of Venture Dr. & Universe Dr.,,9.66
740 Vintage Ave,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91764,San Bernardino,1998,1,,300.0,1.66,180608,170608,300,180608,0,0,180608,-,100.0,3000.0,2024 Tax @ $0.7303/sf,2024 Tax @ $0.7303/sf,,,Cubework,,,,,"Prologis, Inc.",,"Prologis, Inc.","24 Hour Access, Conferencing Facility, Courtyard, Fenced Lot, Front Loading, Property Manager on Site, Restaurant, Security System, Signage, Skylights, Wheelchair Accessible, Yard, Reception, Storage Space, Recessed Lighting, Fluorescent Lighting, Monument Signage, Air Conditioning",800a/277-480v,"30'0""",50.0,"2/10'0""w x 14'0""h",52'w x 50'd,ESFR,,Masonry,,,,,,196711,,,,0,9.85,429066.0,,34.071057,-117.533289,,$9.15 - 11.18 (Est.),,4,180608,SP,A,,,,11.18
17451 Von Karman Ave,9th Street Irvine,Industrial,Existing,Airport Area,Irvine,Irvine,CA,92614,Orange,2024,1,,90.0,0.65,137698,137698,137698,137698,137698,137698,0,-,0.0,,2024 Tax @ $2.1328/sf,2024 Tax @ $2.1328/sf,,,CBRE,,3103634826.0,,Robert Flores,,Clarion Partners,9th Street Partners,"Courtyard, Mezzanine, Car Charging Station",2000a,"36'0""",15.0,1,60'w x 56'd,ESFR,,Reinforced Concrete,,,,,,12595074,,,,0,6.22,270943.0,LEED Certified - Silver,33.6883655,-117.8444079,,$10.58 - 12.94 (Est.),,4,137698,5.1,A,,,,12.94
100 W Walnut Ave,,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92571,Riverside,2022,1,,132.0,0.44,205589,205589,205589,205589,205589,0,0,-,100.0,3910.0,2023 Tax @ $3.3817/sf,2023 Tax @ $3.3817/sf,,,Avison Young,,9512672752.0,,Cody Lerner,,,Airef Perris Bc Lp,,1200a/480v 3p,"36'0""",27.0,"2/12'0""w",,ESFR,,,,,,,,11304344,,,,0,9.581933,417389.0,,33.8275023,-117.2329651,,$7.24 - 8.85 (Est.),,5,205589,PVCC SP,A,,,,8.85
8845 Washington Blvd,Phase 2,Industrial,Existing,Placer County,Roseville/Rocklin,Roseville,CA,95678,Placer,2001,2,,386.0,1.79,215518,107759,18063,233581,215518,0,18063,-,100.0,,2023 Tax @ $1.2119/sf,2023 Tax @ $1.2119/sf,,,CBRE,,9167814859.0,,"Todd Sanfilippo, SIOR",,,CITY OF ROSEVILLE,"Fenced Lot, Signage, Skylights",2000a/277-480v 3p 4w,"32'0""",48.0,"8/12'0""w x 14'0""h",60'w x 56'd,ESFR,,Reinforced Concrete,,,City,City,Natural,337969,,,Roseville Pky Industrial,0,11.7,509652.0,,38.788435,-121.305039,,$8.58 - 10.49 (Est.),,5,107759,M2,A,,,,10.49
3270 E Washington Blvd,,Industrial,Existing,Central Los Angeles,Vernon,Los Angeles,CA,90058,Los Angeles,2024,1,,78.0,1.06,73777,73777,73777,73777,73777,73777,0,-,0.0,,2024 Tax @ $1.6092/sf,2024 Tax @ $1.6092/sf,,,,,,,,,,Brenntag North America,,4000a,"36'0""",8.0,1,50'w x 52'd,ESFR,,,,,,,,277864,,,,190,3.5,152460.0,,34.013496,-118.2084701,,$9.59 - 11.72 (Est.),,4,73777,VEM,A,,,,11.72
21515 S Western Ave,,Industrial,Under Construction,South Bay,Torrance,Torrance,CA,nan,Los Angeles,2025,1,,112.0,1.34,83740,83740,83740,83740,83740,0,0,-,0.0,,2024 Tax @ $2.9005/sf,2024 Tax @ $2.9005/sf,,,JLL,,4242943436.0,,Brianna Demus,,,"Rexford Industrial Realty, Inc.",Air Conditioning,3000a/277-480v 3p,"32'0""",8.0,1,,ESFR,,Reinforced Concrete,,,,,,12481456,,,,0,4.0,174240.0,,33.8335177,-118.3097864,,$12.11 - 14.80 (Est.),,4,83740,TOMI-BP,A,,,,14.8
300 Westmont Dr,,Industrial,Existing,South Bay,San Pedro,San Pedro,CA,90731,Los Angeles,2001,1,,92.0,0.24,759851,338899,338899,338899,338899,338899,0,-,55.4,,2024 Tax @ $1.2310/sf,2024 Tax @ $1.2310/sf,,,CBRE,,3103634948.0,,Tres Reid,,Overton Moore Properties,GPIF,"Fenced Lot, Skylights, Energy Star Labeled, Yard, Monument Signage",2000a/270-480v 3p 4w,"30'0""",118.0,2,52'w x 50'd,ESFR,,Reinforced Concrete,,Yes,,,,586806,,,Port LA Distribution Cntr,0,33.72,1468843.0,,33.7659531,-118.28685,,$11.59 - 14.16 (Est.),,4,759851,M3,A,Energy Star,,,14.16
510 E Whitmore Ave,,Industrial,Existing,Stanislaus County,Ceres,Modesto,CA,95358,Stanislaus,2003,1,,100.0,0.15,681038,84975,84975,84975,84975,84975,0,-,87.52,,2024 Tax @ $1.1273/sf,2024 Tax @ $1.1273/sf,,,Lee & Associates Commercial Real Estate Service,,2099836838.0,,Mark Reckers,,,"G3 Enterprises, Inc",,800a/240-244v 3p,"30'0""",42.0,"5/14'0""w x 16'0""h",50'w x 60'd,ESFR,,Reinforced Concrete,Union Pacific Railroad,,,,,7421253,,,G3 Distribution Center,0,28.9254,1259990.0,,37.5895815,-120.9879232,,$5.09 - 6.22 (Est.),,4,681038,M-3,A,,,,6.22
12352 Whittier Blvd,,Industrial,Under Construction,Mid-Cities,Santa Fe Springs/La Mirada,Whittier,CA,90606,Los Angeles,2025,1,,417.0,1.43,292303,292303,292303,292303,292303,0,0,-,0.0,6756.0,2024 Tax @ $1.4335/sf,2024 Tax @ $1.4335/sf,,,CBRE,,7143719233.0,,Ben Seybold,,Western Realco,PSIF WR Whittier LLC,"Fenced Lot, Mezzanine, Yard, Air Conditioning",3000a/277-480v 3p 4w,"32'0""",24.0,"2/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,,17365333,,,,0,13.49,587624.0,,33.9731531,-118.0474388,,$10.15 - 12.41 (Est.),,5,292303,SP,A,,,,12.41
3120 Wilson Ave,Rider Business Center,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92571,Riverside,2024,1,,176.0,0.71,249067,249067,249067,249067,249067,249067,0,-,0.0,,2023 Tax @ $0.3300/sf,2023 Tax @ $0.3300/sf,,,,,,,,,,TA Realty,Skylights,4000a/277-480v,"36'0""",31.0,1,56'w x 50'd,ESFR,,,,,,,,19246054,,,,0,11.18,487001.0,,33.829458,-117.214224,,$7.45 - 9.11 (Est.),,5,249067,PVCC-LI,A,,,,9.11
13402 Yorba Ave,,Industrial,Existing,Inland Empire West,Chino/Chino Hills,Chino,CA,91710,San Bernardino,2024,1,,292.0,0.74,315065,165170,165170,165170,165170,165170,0,-,47.58,,,,,,,,,,,,,Xebec,Skylights,1600a/277-480v 3p 4w,"36'0""",55.0,2,,ESFR,,Reinforced Concrete,,,,Yes,,13821524,,,,0,14.25,620730.0,,34.0075778,-117.7034762,,$8.47 - 10.35 (Est.),,4,315065,M2,A,,,,10.35
3458 Yosemite Ave,,Industrial,Existing,San Joaquin County,Lathrop,Lathrop,CA,95330,San Joaquin,2021,1,,228.0,0.6,381555,205682,205682,205682,0,0,205682,-,100.0,15147.0,2024 Tax @ $1.7844/sf,2024 Tax @ $1.7844/sf,,,Colliers,,2094755106.0,,Michael Goldstein,,Phelan Development Company,Clarion Partners,Skylights,4000a/277-480v 3p,"36'0""",48.0,"4/12'0""w x 14'0""h",56'w x 60'd,ESFR,,Reinforced Concrete,,,,,,11437380,,,Lathrop Gateway Industrial Park,0,19.04,829382.0,,37.7932213,-121.2793707,,$5.15 - 6.29 (Est.),,5,381555,LI,A,,,,6.29
8670 Younger Creek Dr,,Industrial,Existing,Sacramento County,Power Inn,Sacramento,CA,95828,Sacramento,1996,1,,80.0,0.13,585820,69854,69854,69854,69854,69854,0,-,88.08,,2024 Tax @ $0.9703/sf,2024 Tax @ $0.9703/sf,,,Colliers,,9165633056.0,,Matt Lofrano,S Cable Enterprises,,Blackstone Inc.,Fenced Lot,1600a/277-480v,"32'0""",76.0,"16/12'0""w x 14'0""h",57'w x 57'd,ESFR,,Reinforced Concrete,,,,,,37934,,,Florin Depot Park,0,29.12,1268467.0,,38.515815,-121.380863,,$6.21 - 7.59 (Est.),,4,585820,M-2S,A,,,,7.59
4981 4th St,,Industrial,Existing,Upper San Gabriel Valley,Upper San Gabriel Valley,Irwindale,CA,91706,Los Angeles,2001,1,,146.0,0.94,155960,155960,155960,155960,155960,155960,0,15.6000,0.0,,2024 Tax @ $1.4071/sf,2024 Tax @ $1.4071/sf,,Triple Net,Cushman & Wakefield,,9099424678.0,,Philip Lombardo,,Trammell Crow Company,Clarion Partners,Fenced Lot,1200a/277-480v 3p 4w,"30'0""",25.0,"2/12'0""w x 14'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,,,,,,522269,15.6,,Irwindale Business Center,0,8.09,352400.0,,34.1024602,-117.93955,,$15.60,,4,155960,M,A,,,,15.6
823-829 W 8th St,,Industrial,Existing,Upper San Gabriel Valley,Upper San Gabriel Valley,Azusa,CA,91702,Los Angeles,1987,1,,125.0,0.77,160500,74000,26980,100980,74000,0,26980,12.6000,53.89,2900.0,2024 Tax @ $3.7890/sf,2024 Tax @ $3.7890/sf,Triple Net,,Cushman & Wakefield,,9099424678.0,,Philip Lombardo,,,IDS  Real Estate Group,"Skylights, Air Conditioning",3200a/277-480v 3p 4w,"25'0""",32.0,"2/8'0""w x 10'0""h",,Wet,,Reinforced Concrete,,,,,,263880,,12.6,Azusa Industrial Center,0,6.74,293594.0,,34.13758,-117.9174659,,$12.60,,4,160500,DWL,A,,,,12.6
2136 E 223rd St,,Industrial,Existing,South Bay,Carson,Carson,CA,90745,Los Angeles,2023,1,,4.0,0.03,134114,134114,134114,134114,134114,134114,0,22.8000,0.0,6981.0,2024 Tax @ $4.0235/sf,2024 Tax @ $4.0235/sf,,Triple Net,CBRE,,3103634962.0,,Bret Quinlan,,,Port Of La Industrial Llc,Signage,1200a/277-480v,"32'0""",23.0,2,52'w x 50'd,ESFR,,Masonry,,,,,,12798646,22.8,,Portside Logistics Center,0,14.329455,624191.0,,33.823571,-118.2364177,,$22.80,,4,134114,CAMH*,A,,,,22.8
55 Admiral Robert Toney Way,Bldg 1,Industrial,Existing,Oakland,Oakland,Oakland,CA,94607,Alameda,2018,1,,190.0,0.74,256136,256136,50000,256136,0,0,256136,10.8000,100.0,,,,Triple Net,,,,,,,,,City Of Oakland,"24 Hour Access, Fenced Lot, Signage, Waterfront, Yard, Storage Space",1600a/480v 3p,"32'0""",88.0,8,52'w x 52'd,ESFR,,Reinforced Concrete,,,,,,18890816,,10.8,Prologis Oakland Global Logistics,0,16.12,702187.0,,37.821132,-122.300335,,$10.80,,4,256136,IND,A,,,,10.8
1540 Air Wing Rd,,Industrial,Existing,South Bay,Otay Mesa,San Diego,CA,92154,San Diego,2005,1,,177.0,1.51,116900,173584,40000,116900,116900,0,0,11.8800,100.0,,2024 Tax @ $1.1317/sf,2024 Tax @ $1.1317/sf,,Modified Gross,Colliers,,6192279414.0,,Robert Mooney,Whalen Furniture Manufacturing Inc,,Whalen Furniture Manufacturing Inc,Fenced Lot,277-480v,"28'0""",22.0,"4/12'0""w x 12'0""h",,Yes,,Reinforced Concrete,,,,,,856953,11.88,,Piper Ranch Business Park,0,5.25,228690.0,,32.569595,-116.956818,,$11.88,,4,116900,M,A,,,,11.88
1543 Alder Ave,I-210 Logistics Center IV,Industrial,Existing,Inland Empire East,San Bernardino,Rialto,CA,92376,San Bernardino,2018,1,,273.0,0.45,426302,178000,178000,178000,0,0,178000,18.0000,100.0,,2024 Tax @ $1.5295/sf,2024 Tax @ $1.5295/sf,Industrial Gross,,Lee & Associates Commercial Real Estate Services,,9099897771.0,,Michael Chavez,,Panattoni,"Prologis, Inc.",Skylights,2000-4000a/277-480v,"36'0""",53.0,"2/12'0""w x 16'0""h",56'w x 60'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,10246981,,18.0,I-210 Logistics Center,0,18.33,798455.0,,34.1293491,-117.415852,,$18.00,,4,426302,,A,,,,18.0
2677 E Alessandro Blvd,Freeway Business Center,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Riverside,CA,92508,Riverside,2020,1,,384.0,0.54,709081,709081,709081,709081,0,0,709081,0.9000,100.0,7050.0,2024 Tax @ $3.2742/sf,2024 Tax @ $3.2742/sf,Triple Net,,Cushman & Wakefield,,9099424678.0,,Philip Lombardo,,Crow Holdings Industrial,Alere Property Group LLC,"24 Hour Access, Fenced Lot, Mezzanine, Signage, Skylights, Energy Star Labeled",4000a/277-480v 3p 4w,"36'0""",109.0,"2/12'0""w x 15'0""h",,ESFR,,Reinforced Concrete,,,Yes,Yes,Yes,9644032,,0.9,Freeway Business Center,0,39.33,1713215.0,,33.9135159,-117.283369,,$0.90,,5,709081,W-2,A,Energy Star,,,0.9
2451 Bert Dr,,Industrial,Existing,San Benito County,San Benito County,Hollister,CA,95023,San Benito,2001,1,,180.0,1.06,170144,115200,115200,115200,0,0,115200,8.4000,100.0,,2024 Tax @ $0.4811/sf,2024 Tax @ $0.4811/sf,Triple Net,,Ken & Jill Gimelli LLC,,4087664587.0,,Ken Gimelli,Ken & Jill Gimelli LLC,,Ken & Jill Gimelli LLC,"Fenced Lot, Signage, Air Conditioning",2500a/277-480v 3p,"24'0""",16.0,"7/10'0""w x 14'0""h",,Wet,,Reinforced Concrete,,Yes,,City,,1589864,,8.4,Hollister Business Park,0,15.37,669517.0,,36.896658,-121.396734,,$8.40,,4,170144,IL,A,,,,8.4
18301 S Broadwick St,,Industrial,Existing,South Bay,Rancho Dominguez,Rancho Dominguez,CA,90220,Los Angeles,1998,1,,160.0,1.47,115925,115925,115925,115925,115925,0,0,20.4000,100.0,15247.0,2024 Tax @ $0.7451/sf,2024 Tax @ $0.7451/sf,,Triple Net,CBRE,,3103634960.0,,John Schumacher,Carson Companies,,Carson Companies,"Fenced Lot, Signage, Yard",800a/277-480v 3p 4w,"30'0""",19.0,"2/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,258766,20.4,,Dominguez Technology Center,0,5.18,225641.0,,33.865773,-118.233187,,$20.40,,4,109037,M-2-IP,B,,,,20.4
2121 Browning Rd,,Industrial,Existing,North Outlying Kern County,North Outlying Kern County,Delano,CA,93215,Kern,2008,1,,124.0,0.62,198873,99437,5323,99437,99437,198873,0,12.0000,0.0,,,,,Triple Net,Colliers,,6616313812.0,,Stephen Haupt,,Railex,Carb Americas,"Cooler, Storage Space",4000a,"29'0""",57.0,,,Wet,,Steel,Union Pacific Railroad,Gas,City,City,Natural,6513158,12.0,,,1771,47.27,2059081.0,,35.7294717,-119.2246271,,$12.00,,4,198873,Industrial -specific plan,A,,,,12.0
18755 Business Park Ct,,Industrial,Existing,San Joaquin County,Lathrop,Lathrop,CA,95330,San Joaquin,2021,1,,376.0,0.62,610025,303626,150000,453626,303626,303626,150000,7.8000,50.23,20000.0,2024 Tax @ $1.3730/sf,2024 Tax @ $1.3730/sf,Triple Net,,Colliers,,2094755106.0,,Michael Goldstein,,,Phelan Development Company,"Fenced Lot, Skylights, Yard",4000a/277-480v 3p,"36'0""",110.0,"4/12'0""w x 14'0""h",56'w x 50'd,ESFR,,Reinforced Concrete,,,,,,11437282,,7.8,Lathrop Gateway Industrial Park,0,20.54,894722.0,,37.7901876,-121.2795365,,$7.80,,4,610025,I-W,A,,,,7.8
18215 Butterfield Blvd,Building 2,Industrial,Existing,Morgan Hill/Gilroy,Morgan Hill,Morgan Hill,CA,95037,Santa Clara,2022,1,,154.0,1.86,82446,82446,82446,82446,82446,0,0,16.2000,100.0,,2024 Tax @ $3.4796/sf,2024 Tax @ $3.4796/sf,,Triple Net,CBRE,,4084537410.0,,Chip Sutherland,,Trammell Crow Company,Invesco Real Estate,Car Charging Station,2500a/277-480v,"32'0""",7.0,"1/12'0""w x 14'0""h",50'w x 52'd,ESFR,,,,,,,,11486646,16.2,,Butterfield 5 Tech Park,0,4.95,215622.0,,37.1405736,-121.6566148,,$16.20,,4,82446,PUD Comm/Light Industrial,A,,,,16.2
20201 Caroline Way,Building D,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Riverside,CA,92518,Riverside,2022,1,,582.0,0.54,782209,782209,782209,782209,0,0,782209,13.2000,100.0,7373.0,2024 Tax @ $3.3019/sf,2024 Tax @ $3.3019/sf,Triple Net,,Cushman & Wakefield,,9099424678.0,,Philip Lombardo,,,"Meridian Park, LLC",,4000a,"48'0""",115.0,"3/12'0""w x 15'0""h",50'w,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,12026629,,13.2,Meridian Business Park,0,36.5,1589940.0,,33.8829618,-117.3088762,,$13.20,,4,782209,C07m,A,,,,13.2
3070 E Cedar St,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,1995,1,,100.0,0.47,211978,211978,211978,211978,211978,211978,0,14.4000,0.0,4385.0,2024 Tax @ $0.5574/sf,2024 Tax @ $0.5574/sf,,Triple Net,,,,,,,,"L&B Realty Advisors, LLP",Fenced Lot,3000a/277-480v 3p,"30'0""",30.0,"2/12'0""w x 14'0""h",56'w x 48'd,ESFR,,Reinforced Concrete,,,,,,199969,14.4,,,0,10.0,435600.0,,34.0368823,-117.5858301,,$14.40,,4,211978,SP,A,,,,14.4
9199 Cleveland Ave,,Industrial,Existing,Inland Empire West,Airport Area,Rancho Cucamonga,CA,91730,San Bernardino,2005,1,,155.0,0.37,414017,414017,414017,414017,0,0,414017,10.8000,100.0,,2024 Tax @ $0.8292/sf,2024 Tax @ $0.8292/sf,Triple Net,,,,,,,,Panattoni Development Company,AEW Capital Management,"24 Hour Access, Fenced Lot, Signage, Air Conditioning",1200a/277-480v 3p,"30'0""",40.0,"3/10'0""w x 12'0""h",,ESFR,,Reinforced Concrete,,,,,,700878,,10.8,Panattoni,0,16.62,723967.0,,34.0863275,-117.5656493,,$10.80,,4,414017,GI,A,Energy Star,NEC 6th & Cleveland,,10.8
800 Corporate Way,,Industrial,Existing,880 Corridor,Fremont,Fremont,CA,94539,Alameda,1995,1,,300.0,2.2,152995,152995,152995,152995,0,0,152995,16.2000,100.0,,2024 Tax @ $2.2401/sf,2024 Tax @ $2.2401/sf,Triple Net,,CBRE,,5108741900.0,,Daniel Bisabri,LBA Realty,,Blackstone Inc.,Fenced Lot,4000a/277-480v,"30'0""",12.0,"2/10'0""w x 16'0""h",48'w x 57'd,ESFR,,Masonry,,,,,,1366994,,16.2,,0,8.8,383328.0,,37.49761,-121.927576,,$16.20,,4,152995,I,A,,,,16.2
1462 Corporate Center Dr,Building C,Industrial,Existing,South Bay,Otay Mesa,San Diego,CA,92154,San Diego,2007,1,,367.0,2.0,183695,91753,41780,91753,91753,41780,0,13.3543,77.26,,2024 Tax @ $1.3342/sf,2024 Tax @ $1.3342/sf,,Triple Net,CBRE,,6196968350.0,,"Robert Hixson, III, SIOR",,"Sudberry Properties, Inc.","Sudberry Properties, Inc.",,4000a/480v 3p,"28'0""",32.0,"4/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,1356587,13.3543,,Ocean View Hills Corp Ctr,0,8.97,390733.0,,32.5737231,-117.004814,,$12.48 - 14.40,,4,183695,Light Industrial,A,,,,14.4
3700 Cover St,Prologis Long Beach Distribution Center,Industrial,Existing,South Bay,Long Beach,Long Beach,CA,90808,Los Angeles,2012,1,,214.0,1.94,110000,110000,110000,110000,110000,0,0,19.8000,100.0,20000.0,2024 Tax @ $3.3955/sf,2024 Tax @ $3.3955/sf,,Triple Net,,,,,,,,"Prologis, Inc.",Fenced Lot,1200a,"30'0""",11.0,"2/11'0""w x 14'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,,,,,,8395710,19.8,,,0,5.76,250906.0,LEED Certified - Platinum,33.8271999,-118.1490234,,$19.80,,4,110000,PD-32,A,,,,19.8
